Kommunenavn ,Fornavn ,Efternavn ,Parti ,Periode,Indbyggertal
Dronninglund ,Poul ,Møller ,Venstre ,1990-2001 
Dronninglund ,Mikael ,Klitgaard ,Venstre ,2002-2006 
Ebeltoft ,Jens Aage ,Rasmussen ,Lokalliste ,1970-1986 
Ebeltoft ,Jørgen ,Nielsen ,Lokalliste ,1986-1989 
Ebeltoft ,Christian ,Rose ,Lokalliste ,1990-1997 
Ebeltoft ,Birthe ,Schaumann ,Venstre ,1998
Ebeltoft ,Knud ,Thorgaard ,Socialistisk Folkeparti ,1998-2001 
Ebeltoft ,Jørgen ,Brøgger ,Lokalliste ,2001-2006 
Egebjerg ,Mads ,Weber ,Venstre ,1970-1978 
Egebjerg ,Erik ,Larsen ,Venstre ,1978-1985 
Egebjerg ,Keld Møller ,Jensen ,Det Konservative Folkeparti ,1986-1989 
Egebjerg ,Poul ,Weber ,Venstre ,1990-2001 
Egebjerg ,Mogens ,Johansen ,Socialdemokratiet ,2002-2006 
Egedal ,Svend ,Kjærgaard ,Venstre ,2007-2009 
Egedal ,Willy ,Eliasen ,Venstre ,2010-2017 
Egedal ,Karsten ,Søndergaard ,Venstre ,2017 - 
Egtved ,Marius ,Kyed ,Venstre ,1970-1974 
Egtved ,Kristian Jessen ,Hansen ,Venstre ,1974-1984 
Egtved ,Jørgen ,Petersen ,Venstre ,1984-1997 
Egtved ,Sonny ,Berthold ,Venstre ,1998-2006 
Egvad ,Frands Borris ,Andersen ,Venstre ,1970-1982 
Egvad ,Henning ,Fredsted ,Venstre ,1982-1991 
Egvad ,Niels Oluf ,Pagh ,Venstre ,1991-1992 
Egvad ,Gunnar ,Andersen ,Venstre ,1992-2001 
Egvad ,Kent ,Skaaning ,Venstre ,2002-2006 
Ejby ,Alfred ,Nørrelund ,Venstre ,1970-1974 
Ejby ,Carl ,Olsen ,Det Radikale Venstre ,1974-1978 
Ejby ,Svend ,Christophersen ,Det Radikale Venstre ,1978-1979 
Ejby ,Karl-Aage ,Nielsen ,Venstre ,1979-1985 
Ejby ,Ove ,Andersen ,Socialdemokratiet ,1986-1993 
Ejby ,Claus ,Hansen ,Venstre ,1994-2006 
Esbjerg ,Henning ,Rasmussen ,Socialdemokratiet ,1970-1979 
Esbjerg ,Alfred Kristian ,Nielsen ,Socialdemokratiet ,1979-1989 
Esbjerg ,Flemming ,Bay-Jensen ,Socialdemokratiet ,1990-1993 
Esbjerg ,Johnny ,Søtrup ,Venstre ,1994-2006 
Esbjerg ,Johnny ,Søtrup ,Venstre ,2007-2017 
Esbjerg ,Jesper Frost ,Rasmussen ,Venstre ,2018- 
Fakse ,Ejner ,Jensen ,Socialdemokratiet ,1970-1974 
Fakse ,Jens ,Berendt ,Socialdemokratiet ,1974-1989 
Fakse ,Signe ,Bartel ,Socialdemokratiet ,1990-1993 
Fakse ,Rene ,Tuekær ,Lokalliste ,1994-1997 
Fakse ,Signe ,Bartel ,Socialdemokratiet ,1998-2001 
Fakse ,Rene ,Tuekær ,Lokalliste ,2002-2006 
Fanø ,Marius ,Sørensen ,Det Konservative Folkeparti ,1970-1974 
Fanø ,Otto ,Berg-Jensen ,Lokalliste ,1974-1978 
Fanø ,Tage E. ,Jensen ,Det Konservative Folkeparti ,1978-1989 
Fanø ,Kjeld ,Nielsen ,Det Konservative Folkeparti ,1990-2005 
Fanø ,Erik ,Nørreby ,Venstre ,2006-2017 
Fanø ,Sofie ,Valbjørn ,Alternativet ,2018- 
Farsø ,Bernhard ,Nielsen-Man ,Venstre ,1970-1978 
