Kommunenavn ,Fornavn ,Efternavn ,Parti ,Periode,Indbyggertal
Sydthy ,Arne ,Hyldahl ,Venstre ,2002-2006 
Sæby ,Ingemann ,Christensen ,Venstre ,1970-1974 
Sæby ,Frede Fredborg ,Nielsen ,Venstre ,1974-1989 
Sæby ,Hans ,Krarup ,Lokalliste ,1990-1993 
Sæby ,Leif ,Bak ,Socialdemokratiet ,1994-1997 
Sæby ,Folmer ,Hansen ,Venstre ,1998-2006 
Søllerød ,Erik ,Øigaard ,Det Konservative Folkeparti ,1970-1974 
Søllerød ,Holger ,Nordkild ,Det Konservative Folkeparti ,1974-1980 
Søllerød ,Birgitta ,Broberg ,Det Konservative Folkeparti ,1980-1985 
Sønderborg ,Edmond ,Nielsen ,Socialdemokratiet ,1970-1973 
Sønderborg ,Harry Grønvall ,Christensen ,Socialdemokratiet ,1973-1987 
Sønderborg ,Alfred Krogh ,Pedersen ,Socialdemokratiet ,1987-1988 
Sønderborg ,Ingolf ,Winzor ,Socialdemokratiet ,1988-1997 
Sønderborg ,Arne Peter ,Hansen ,Venstre ,1998-2006 
Sønderborg ,Jan Prokopek ,Jensen ,Socialdemokratiet ,2007-2009 
Sønderborg ,Aase ,Nyegaard ,Lokalliste ,2010-2013 
Sønderborg ,Erik ,Lauritzen ,Socialdemokratiet ,2014- 
Sønderhald ,Gunnar Kirk ,Thøgersen ,Lokalliste ,1970-1981 
Sønderhald ,Evald ,Nielsen ,Lokalliste ,1982-1989 
Sønderhald ,Carl Damgaard ,Nielsen ,Venstre ,1990-1997 
Sønderhald ,Kirsten ,Wyrtz ,Socialdemokratiet ,1998-2006 
Søndersø ,Niels ,Vinggaard ,Venstre ,1970-1974 
Søndersø ,Jørgen ,Larsen ,Venstre ,1974-1981 
Søndersø ,Kaj ,Jeppesen ,Venstre ,1982-1993 
Søndersø ,Arne Overgård ,Pedersen ,Venstre ,1994-1997 
Søndersø ,Erik ,Hansen ,Socialdemokratiet ,1998-2006 
Them ,Søren ,Jensen ,Lokalliste ,1970-1980 
Them ,Haakon ,Birk ,Venstre ,1980-1985 
Them ,Niels ,Mølholm ,Lokalliste ,1986-1997 
Them ,Bent ,Br√§uner ,Venstre ,1998-2001 
Them ,Torben ,Hansen ,Socialistisk Folkeparti ,2002-2006 
Thisted ,Holger ,Visby ,Venstre ,1970-1981 
Thisted ,Svend ,Thorup ,Venstre ,1982-1993 
Thisted ,Ruth ,Scharling ,Det Konservative Folkeparti ,1994-1997 
Thisted ,Kaj ,Kristensen ,Venstre ,1998-2001 
Thisted ,Erik Hove ,Olesen ,Socialdemokratiet ,2001-2006 
Thisted ,Erik Hove ,Olesen ,Socialdemokratiet ,2007-2009 
Thisted ,Lene ,Kjeldgaard ,Venstre ,2010-2017 
Thisted ,Ulla ,Vestergaard ,Socialdemokratiet ,2018- 
Thyborøn-Harboøre ,Lars ,Lyng ,Lokalliste ,1970-1981 
Thyborøn-Harboøre ,Laust ,Nees ,Lokalliste ,1982-1994 
Thyborøn-Harboøre ,Viola ,Bro ,Lokalliste ,1994-2001 
Thyborøn-Harboøre ,Erik ,Flyvholm ,Lokalliste ,2002-2006 
Thyholm ,Peter ,Odgaard ,Venstre ,1970
Thyholm ,Ejnar ,Krabbe ,Venstre ,1970-1971 
Thyholm ,Jens ,Hargaard ,Venstre ,1971-1985 
Thyholm ,Hanne ,Christensen ,Venstre ,1986-1997 
Thyholm ,Peter ,Gade ,Det Konservative Folkeparti ,1998-2006 
Tinglev ,Svend ,Christensen ,Lokalliste ,1970-1978 
Tinglev ,Frits ,Nielsen ,Socialdemokratiet ,1978-1981 
Tinglev ,Sven ,Tarp ,Det Konservative Folkeparti ,1981
Tinglev ,Hardy ,Knudsen ,Venstre ,1982-1989 
Tinglev ,Thorkild Dahl ,Nielsen ,Venstre ,1990-2001 
Tinglev ,Susanne ,Beier ,Venstre ,2002-2006 
Tjele ,Niels ,Pedersen ,Venstre ,1970-1985 
Tjele ,Jens Jørgen ,Terkelsen ,Venstre ,1986-1993 
Tjele ,Steffen ,Andreasen ,Venstre ,1994-2001 
Tjele ,Anna Margrethe ,Kaalund ,Lokalliste ,2002-2006 
Tommerup ,Vagn Østerbye ,Andersen ,Venstre ,1970-1974 
Tommerup ,Thage ,Hansen ,Venstre ,1974-1984 
Tommerup ,Niels Vissing ,Jakobsen ,Venstre ,1984-1989 
Tommerup ,Finn ,Brunse ,Socialdemokratiet ,1990-2006 
Tornved ,Poul ,Christensen ,Venstre ,1970-1974 
Tornved ,Poul ,Rasmussen ,Venstre ,1974-1981 
Tornved ,Hans ,Roth ,Socialdemokratiet ,1982-1989 
Tornved ,Carl Anton ,Jepsen ,Venstre ,1990-1993 
Tornved ,Hans ,Roth ,Socialdemokratiet ,1994-1997 
Tornved ,Jens ,Stenbæk ,Venstre ,1998-2006 
Tranekær ,Jens ,Sørensen ,Venstre ,1970-1974 
Tranekær ,Lars Chr. ,Christensen ,Venstre ,1974-1978 
Tranekær ,Aage ,Nielsen ,Det Radikale Venstre ,1978-1979 
Tranekær ,Svend Aage ,Hansen ,Venstre ,1979-2001 
Tranekær ,Jørgen ,Nielsen ,Venstre ,2002-2006 
Trehøje ,Richard ,Saaugaard ,Venstre ,1970-1981 
Trehøje ,Jens ,Pedersen ,Venstre ,1982-1997 
Trehøje ,Svend ,Blæsbjerg ,Venstre ,1998-2006 
Trundholm ,Johannes ,Hom ,Det Radikale Venstre ,1970-1989 
Trundholm ,Bodil ,Olsen ,Socialdemokratiet ,1990-1997 
Trundholm ,Hans Møller ,Olsen ,Venstre ,1998-2006 
Tølløse ,Wolmer ,Olsen ,Det Radikale Venstre ,1970-1975 
Tølløse ,Hans Kryger ,Sandal ,Socialdemokratiet ,1975-1978 
Tølløse ,Christian ,Nielsen ,Venstre ,1978-1997 
Tølløse ,Poul Erik ,Jensen ,Det Radikale Venstre ,1998-2006 
Tønder ,Svend ,Kirchheiner ,Venstre ,1970-1974 
Tønder ,Jens Børsting ,Andersen ,Venstre ,1974-1985 
Tønder ,Kurt ,Sandahl ,Venstre ,1986-1989 
Tønder ,Kurt ,Johannsen ,Socialdemokratiet ,1990-1993 
Tønder ,Hans L. ,Hansen ,Venstre ,1994-1997 
Tønder ,Rudi ,Jensen ,Det Konservative Folkeparti ,1998-2001 
Tønder ,Hans L. ,Hansen ,Venstre ,2002-2006 
Tønder ,Vagn Terkel ,Pedersen ,Venstre ,2007-2009 
Tønder ,Laurids ,Rudebeck ,Venstre ,2009-2016 
Tønder ,Henrik ,Frandsen ,Venstre ,2016- 
Tørring-Uldum ,Fritz ,Kjær ,Lokalliste ,1970-1978 
Tørring-Uldum ,Carl ,Bundgaard ,Venstre ,1978-1981 
Tørring-Uldum ,Hans ,Kristensen ,Lokalliste ,1981-1991 
Tørring-Uldum ,Frede ,Jacobsen ,Venstre ,1991-2001 
Tørring-Uldum ,Kirsten ,Terkilsen ,Venstre ,2002-2006 
Tårnby ,Torkild ,Feldvoss ,Socialdemokratiet ,1970-1993 
Tårnby ,Henrik ,Zimino ,Socialdemokratiet ,1994-2017 
Tårnby ,Andersen ,Allan S. ,Socialdemokratiet ,2018- 
Ulfborg-Vemb ,Termann ,Nordsmark ,Lokalliste ,1970-1984 
Ulfborg-Vemb ,Kaj ,Brink ,Venstre ,1984-1999 
Ulfborg-Vemb ,Niels Kristian ,Jensen ,Venstre ,1999-2006 
Ullerslev ,Niels Peter ,Madsen ,Venstre ,1970-1989 
Ullerslev ,Tage ,Jensen ,Socialdemokratiet ,1990-1997 
Ullerslev ,Erik ,Christensen ,Socialdemokratiet ,1998-2006 
Vallensbæk ,Poul ,Hansen ,Det Konservative Folkeparti ,1970-1993 
Vallensbæk ,Kurt ,Hockerup ,Det Konservative Folkeparti ,1994-2010 
Vallensbæk ,Henrik ,Rasmussen ,Det Konservative Folkeparti ,2010- 
Vallø ,Jørgen ,Larsen ,Venstre ,1970-1974 
Vallø ,Helge ,Madsen ,Socialdemokratiet ,1974-1978 
Vallø ,Uffe ,Midtgaard ,Venstre ,1978-1981 
Vallø ,Holger ,Sonne ,Venstre ,1982-1985 
Vallø ,Jens Peder ,Kure ,Socialdemokratiet ,1986-1989 
Vallø ,Linda ,Egaa ,Socialdemokratiet ,1990-1993 
Vallø ,Poul Arne ,Nielsen ,Venstre ,1994-2006 
Vamdrup ,Carl ,Nielsen ,Venstre ,1970-1974 
Vamdrup ,Vagn ,Jessen ,Venstre ,1974-1985 
Vamdrup ,Otto ,Olsen ,Venstre ,1986-2001 
Vamdrup ,Mike ,Legarth ,Det Konservative Folkeparti ,2001-2006 
Varde ,Christen ,Nielsen ,Venstre ,1970-1989 
Varde ,Betty ,Carstensen ,Venstre ,1990-1997 
Varde ,Kaj ,Nielsen ,Venstre ,1998-2006 
Varde ,Gylling ,Haahr ,Venstre ,2007-2013 
Varde ,Erik Buhl ,Nielsen ,Venstre ,2014- 
Vejen ,Arne ,Hansen ,Venstre ,1970-1981 
Vejen ,Lis ,Aaltonen ,Det Konservative Folkeparti ,1982-1985 
Vejen ,Peder Bent ,Jensen ,Venstre ,1986-1995 
Vejen ,Regnar ,Busk ,Venstre ,1995-2006 
Vejen ,Egon ,Fræhr ,Venstre ,2007- 
Vejle ,Willy ,Sørensen ,Socialdemokratiet ,1970-1978 
Vejle ,Christian ,Christiansen ,Socialdemokratiet ,1978
Vejle ,Karl Johan ,Mortensen ,Socialdemokratiet ,1978-1993 
Vejle ,Flemming ,Christensen ,Socialistisk Folkeparti ,1994-2006 
Vejle ,Leif ,Skov ,Socialdemokratiet ,2007-2009 
Vejle ,Arne ,Sigtenbjerggaard ,Venstre ,2010-2017 
Vejle ,Jens Ejner ,Christensen ,Venstre ,2017- 
Vesthimmerland ,Jens Styrbæk ,Lauritzen ,Venstre ,2007-2009 
Vesthimmerland ,Knud Vældgaard ,Kristensen ,Det Konservative Folkeparti ,2010-2017 
Vesthimmerland ,Per Bach ,Laursen ,Venstre ,2018- 
Viborg ,Johannes ,Christensen ,Venstre ,1970-1972 
Viborg ,Otto Th. ,Nielsen ,Venstre ,1972-1985 
Viborg ,Jørn Cato ,Nielsen ,Venstre ,1986-1989 
Viborg ,Carl Anker ,Jensen ,Socialdemokratiet ,1990-1997 
Viborg ,Johannes ,Steensgaard ,Socialdemokratiet ,1998-2006 
Viborg ,Johannes ,Stensgaard ,Socialdemokratiet ,2007-2009 
Viborg ,Søren Pape ,Poulsen ,Det Konservative Folkeparti ,2010-2014 
Viborg ,Torsten ,Nielsen ,Det Konservative Folkeparti ,2014-2017 
Viborg ,Ulrik ,Wilbek ,Venstre ,2018- 
Videbæk ,Niels ,Jensen ,Lokalliste ,1970-1974 
Videbæk ,John ,Kristiansen ,Lokalliste ,1970-1997 
Videbæk ,Torben ,Nørregaard ,Venstre ,1998-2006 
Vinderup ,Edvard ,Pedersen ,Venstre ,1970-1973 
Vinderup ,Steen ,Bjerre ,Venstre ,1973-1974 
Vinderup ,Jens Peder ,Hedegaard ,Venstre ,1974-1978 
Vinderup ,Steen ,Bjerre ,Venstre ,1978-1985 
Vinderup ,Peder Damtoft ,Mikkelsen ,Venstre ,1986-1997 
Vinderup ,Holger ,Hedegaard ,Venstre ,1998-2006 
Vissenbjerg ,Knud ,Friborg ,Socialdemokratiet ,1970-1989 
Vissenbjerg ,John ,Jakobsen ,Lokalliste ,1990-1997 
Vissenbjerg ,Ole ,Nielsen ,Det Konservative Folkeparti ,1998-2001 
Vissenbjerg ,Lene ,Due ,Socialdemokratiet ,2002-2006 
Vojens ,Therkel ,Jensen ,Venstre ,1970-1974 
Vojens ,Peter ,Petersen ,Socialdemokratiet ,1974-1989 
Vojens ,Nis ,Mikkelsen ,Venstre ,1990-1993 
Vojens ,Markvad ,Hovmøller ,Socialdemokratiet ,1994-1997 
Vojens ,Nis ,Mikkelsen ,Venstre ,1998-2006 
Vordingborg ,Holger ,Jensen ,Socialdemokratiet ,1970-1973 
Vordingborg ,Børge ,Lundgaard ,Socialdemokratiet ,1973-1984 
Vordingborg ,Jørn ,Nielsen ,Socialdemokratiet ,1984-1989 
Vordingborg ,Arni ,Berg ,Socialdemokratiet ,1990-1993 
Vordingborg ,Elvar ,Thomsen ,Venstre ,1994-1997 
Vordingborg ,Bent ,Pedersen ,Socialdemokratiet ,1998-2006 
Vordingborg ,Henrik ,Holmer ,Socialdemokratiet ,2007-2013 
Vordingborg ,Knud ,Larsen ,Venstre ,2014-2017 
Vordingborg ,Michael Seiding ,Larsen ,Venstre ,2017-2017 
Vordingborg ,Mikael ,Smed ,Socialdemokratiet ,2018- 
Værløse ,Olaf ,Beck ,Det Konservative Folkeparti ,1970-1974 
Værløse ,Ernst ,Ellegaard ,Det Konservative Folkeparti ,1974-1978 
Værløse ,Gunnar ,Christensen ,Socialdemokratiet ,1978-1981 
Værløse ,Ernst ,Ellegaard ,Det Konservative Folkeparti ,1982-1997 
Værløse ,Erik ,Eefsen ,Det Konservative Folkeparti ,1998-2001 
Værløse ,Jesper ,Bach ,Venstre ,2002-2006 
Ærø ,Jørgen Otto ,Jørgensen ,Socialdemokratiet ,2006-2009 
Ærø ,Karsten ,Landro ,Det Konservative Folkeparti ,2010-2013 
Ærø ,Jørgen Otto ,Jørgensen ,Socialdemokratiet ,2014-2017 
Ærø ,Ole Wej ,Petersen ,Socialdemokratiet ,2018- 
Ærøskøbing ,Helge J. ,Hansen ,Lokalliste ,1970-1981 
Ærøskøbing ,Kasper ,Caspersen ,Lokalliste ,1982-1985 
Ærøskøbing ,Jens ,Groth-Lauritsen ,Venstre ,1986-1997 
Ærøskøbing ,Jørgen Otto ,Jørgensen ,Socialdemokratiet ,1998-2006 
Ølgod ,Alfred ,Jeppesen ,Lokalliste ,1970-1978 
Ølgod ,Christian Rotvig ,Jensen ,Lokalliste ,1978-1985 
Ølgod ,Harry ,Hansen ,Lokalliste ,1986-1997 
Ølgod ,Erik Buhl ,Nielsen ,Lokalliste ,1998-2006 
Ølstykke ,Helmar ,Filtenborg ,Det Konservative Folkeparti ,1970-1981 
Ølstykke ,Hans Erik ,Nielsen ,Venstre ,1982-1989 
Ølstykke ,Birthe ,Hansen ,Socialdemokratiet ,1990-1993 
Ølstykke ,Svend Kjærgaard ,Jensen ,Venstre ,1994-2006 
Ørbæk ,Laurits ,Hansen ,Venstre ,1970-1978 
Ørbæk ,Henrik ,Nielsen ,Venstre ,1978-1985 
Ørbæk ,Jens Jørgen ,Pedersen ,Venstre ,1986-2001 
Ørbæk ,Kaj ,Refslund ,Venstre ,2002-2006 
Aabenraa ,Camma ,Larsen-Ledet ,Socialdemokratiet ,1970-1985 
Aabenraa ,Jens ,Terp-Nielsen ,Venstre ,1986-1989 
Aabenraa ,Jørgen ,Witte ,Socialdemokratiet ,1990-2001 
Aabenraa ,Poul ,Thomsen ,Venstre ,2002-2006 
Aabenraa ,Tove ,Larsen ,Socialdemokratiet ,2007-2013 
Aabenraa ,Thomas ,Andresen ,Venstre ,2014- 
Åbybro ,Jørgen ,Jørgensen ,Venstre ,1970-1978 
Åbybro ,Aage ,Nielsen ,Venstre ,1978-1981 
Åbybro ,Herdis ,Gregersen ,Venstre ,1982-1986 
Åbybro ,Ole Lykkegaard ,Andersen ,Venstre ,1986-2006 
Åkirkeby ,Aksel ,Jensen ,Venstre ,1970-1985 
Åkirkeby ,Birthe ,Juel-Jensen ,Venstre ,1986-2001 
Åkirkeby ,Britta ,Kofoed ,Venstre ,2002
Aalborg ,Marius ,Andersen ,Socialdemokratiet ,1970-1981 
Aalborg ,Kaj ,Kjær ,Socialdemokratiet ,1982-1997 
Aalborg ,Henning G. ,Jensen ,Socialdemokratiet ,1998-2006 
Aalborg ,Henning G. ,Jensen ,Socialdemokratiet ,2007-2013 
Aalborg ,Thomas ,Kastrup-Larsen ,Socialdemokratiet ,2014- 
Ålestrup ,Otto ,Jørgensen ,Venstre ,1970-1981 
Ålestrup ,Gustav ,Christensen ,Venstre ,1982-1989 
Ålestrup ,Richardt ,Gundersen ,Socialdemokratiet ,1990-1993 
Ålestrup ,Per ,Bisgaard ,Venstre ,1994-2001 
Ålestrup ,Rigmor ,Sandborg ,Lokalliste ,2002-2006 
Århus ,Bernhardt ,Jensen ,Socialdemokratiet ,1970-1971 
Århus ,Orla S. ,Hyllested ,Socialdemokratiet ,1971-1981 
Århus ,Thorkild ,Simonsen ,Socialdemokratiet ,1982-1997 
Århus ,Flemming ,Knudsen ,Socialdemokratiet ,1997-2001 
Århus ,Louise ,Gade ,Venstre ,2002-2005 
Århus ,Nicolai ,Wammen ,Socialdemokratiet ,2006-2011 
Århus ,Jacob ,Bundsgaard ,Socialdemokratiet ,2011- 
Års ,Holger. S. ,Mikkelsen ,Venstre ,1970-1972 
Års ,Niels ,Hougaard ,Venstre ,1972-1974 
Års ,Alfred Chr. ,Rask ,Venstre ,1974-1981 
Års ,Martin ,Glerup ,Socialdemokratiet ,1982-1985 
Års ,Ejvind ,Nielsen ,Venstre ,1986-1990 
Års ,Per ,Nørgaard ,Venstre ,1990-2001 
Års ,Knud ,Christensen ,Det Konservative Folkeparti ,2001-2006 
Årslev ,Frode ,Christensen ,Det Radikale Venstre ,1970-1973 
Årslev ,Svend Krag ,Jensen ,Venstre ,1973-1978 
Årslev ,Erling ,Christensen ,Socialdemokratiet ,1978-1987 
Årslev ,Knud ,Knudsen ,Socialdemokratiet ,1987-1997 
Årslev ,Hans ,Jørgensen ,Socialdemokratiet ,1998-2001 
Aarup ,Laurits ,Blæsbjerg ,Venstre ,1970-1974 
Aarup ,Egon ,Rasmussen ,Lokalliste ,1974-1988 
Aarup ,Asger ,Møller ,Venstre ,1988-1989 
Aarup ,Gunnar ,Lund ,Socialdemokratiet ,1990-2001 
Aarup ,Lars Kristian ,Pedersen ,Venstre ,2002-2006 
Åskov ,Christian ,Jørgensen ,Venstre ,1970-1985 
Åskov ,Jacob Erhard ,Jacobsen ,Venstre ,1986-1993 
Åskov ,Christian ,Rahbek ,Venstre ,1994-2001 
Åskov ,Jørgen Christian ,Jørgensen ,Venstre ,2002-2006 
